Language,What roles do you play in your project? (mark all that apply),"Among the roles you play, which one do you consider to be your main role?",How long have you been working on this project? ,Which country did you spend the most time in during your participation in this project?,How many commits did you contribute to the project? ,What is your sex?,What is your educational background (highest degree obtained)?,What is your experience (in years) working in software development?,Were you familiar with the presented description of Technical Debt before this questionnaire?,For what reasons did you commonly modify code in the project? (mark all that apply),How often do you introduce technical debt?,For what reasons have you introduced technical debt? (mark all that apply),How often do you repay your own technical debt?,For what reasons do you repay your own technical debt?,Do you recall **noticing** TD? Please respond per TD type [Code Debt],Do you recall **noticing** TD? Please respond per TD type [Defect Debt],Do you recall **noticing** TD? Please respond per TD type [Design Debt],Do you recall **noticing** TD? Please respond per TD type [Documentation Debt],Do you recall **noticing** TD? Please respond per TD type [Test Debt],Do you recall **introducing** TD? Please respond per TD type [Code Debt],Do you recall **introducing** TD? Please respond per TD type [Defect Debt],Do you recall **introducing** TD? Please respond per TD type [Design Debt],Do you recall **introducing** TD? Please respond per TD type [Documentation Debt],Do you recall **introducing** TD? Please respond per TD type [Test Debt],Do you recall **repaying** TD? Please respond per TD type [Code Debt],Do you recall **repaying** TD? Please respond per TD type [Defect Debt],Do you recall **repaying** TD? Please respond per TD type [Design Debt],Do you recall **repaying** TD? Please respond per TD type [Documentation Debt],Do you recall **repaying** TD? Please respond per TD type [Test Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Code Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Defect Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Design Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Documentation Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Test Debt]
Java,Developer (incl. Software Engineer);Team Lead,Team Lead,More than 5 years,UK,more than 500 commits,Male,HAVO,20,Yes,Bug fixing;New feature;Refactoring,On a regular basis,"Deadline;Lack of well-defined process;At the scale of Chrome, developing a feature often requires experimentation and analysis of those experimentation results to influence the design of a particular capability. That means, that, by design, specifications are not always known upfront, and change during development. Always avoiding technical debt tends to lead to overgeneralizations or abstractions that are deterimental to project health in the long term.",On a regular basis,Sanity,Definetely yes,Definetely yes,Probably yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,"Developer (incl. Software Engineer), Software Architect",Software Architect,1-2 years,Spain,Less than 10 commits,Male,MSc,30,Yes,"Bug fixing, New feature, Refactoring",On a regular basis,it is a part of software developement,On a regular basis,because it is the right thing to do,Probably yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,"Developer (incl. Software Engineer), Tester (incl. Quality Assurance)",Developer (incl. Software Engineer),1-2 years,Singapore,Less than 10 commits,Male,MSc,20,Yes,Bug fixing,On a regular basis,"Deadline, Lack of experience, Team overload, I am not aware that I introduce technical debt","Sometimes, when it is absolutely essential","pride, pleasure, and as an investment",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely not,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely not
Python,Developer (incl. Software Engineer),Software Architect,1-2 years,China,30-50 commits,Male,BSc,5,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Inappropriate planning, Non-adoption of good practice, Lack of qualified professionals that can manage techinical debt, Lack of experience, Team overload, I am not aware that I introduce technical debt",On a regular basis,"The code cannot be maintained, hard to add new feature.",Definetely yes,I am not sure,Probably yes,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure,Definetely yes,Definetely not,Definetely not,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Portugal,Less than 10 commits,Female,BSc,0,No,"Bug fixing, New feature","Sometimes, when it is absolutely essential","Non-adoption of good practice, Not effective project management, Lack of qualified professionals that can manage techinical debt, Lack of experience, Outdated or incomplete documentation","Sometimes, when it is absolutely essential",Better development process,Probably yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Probably yes,I am not sure,I am not sure,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Probably yes,Probably yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes
Python,"Developer (incl. Software Engineer), Project Manager",Developer (incl. Software Engineer),1-2 years,Portugal,200-500 commits,Male,BSc,20,Yes,"Bug fixing, New feature, Refactoring",Almost never,"Deadline, Inappropriate planning, I am not aware that I introduce technical debt",On a regular basis,"Tech debt has an interest rate, that you normally have to pay everytime you add something to the code.",Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes
Python,"Developer (incl. Software Engineer), Product Owner",Product Owner,3-5 years,United States,10-30 commits,Male,BSc,9,Yes,"Bug fixing, Refactoring","Sometimes, when it is absolutely essential",I am not aware that I introduce technical debt,On a regular basis,as an exercise to understand,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely not,Probably not,I am not sure,Probably not,Probably yes,Probably not
Java,Developer (incl. Software Engineer);Team Lead,Team Lead,3-5 years,Hungary,50-100 commits,Male,BSc,10,Yes,Bug fixing;New feature;Refactoring,Almost never,Deadline;Inappropriate planning;Team overload,Always,Professionality,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely not,Definetely not,Definetely not,Definetely yes,I am not sure,I am not sure,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,USA,50-100 commits,I prefer not to answer,MSc,8,Yes,"Bug fixing, New feature","Sometimes, when it is absolutely essential","Outdated or incomplete documentation, Stopgap fix for a production issue",Always,"Moral obligation, future productivity and robustness",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely not,Definetely not,I am not sure,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely not,Definetely not,Probably not,Definetely not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,US,more than 500 commits,Male,BSc,15,Yes,Bug fixing;New feature;Refactoring,On a regular basis,"Deadline;Non-adoption of good practice;Lack of experience;Outdated or incomplete documentation;Team overload;Backportability, Desire to separate changes for readability or for speed of merging",On a regular basis,Promises. Guilt. Anger.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,USA,more than 500 commits,Male,BSc,18,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential","Deadline;Non-adoption of good practice;Team overload;Most often, it's just a matter of cost-benefit analysis. Even if there is not a hard deadline or other external factors, the sheer time and energy cost of doing the ideal thing can be significantly higher than many good-enough alternatives. These kinds of decisions then accumulate over time.",On a regular basis,Eventually the overall cost to developers becomes high enough to warrant repayment.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Canada,more than 500 commits,Male,MSc,15,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",The cost of avoiding TD is a major refactor which would take independent planning,On a regular basis,It is good practice to have a healthy codebase.,Definetely yes,Definetely not,Probably yes,Definetely yes,Definetely yes,Probably yes,Definetely not,Probably not,Definetely yes,Probably yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Probably yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead,Developer (incl. Software Engineer),1-2 years,USA,200-500 commits,Male,MSc,12,Yes,Bug fixing;New feature;Refactoring,Almost never,Deadline;Working in an area that is already burdened with technical debt,Always,Because I do not hate future me :) (i.e. it makes work easier for me and my colleagues).,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Probably yes,Probably not,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Brazil,100-200 commits,Male,BSc,25,Somewhat,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Outdated or incomplete documentation;Team overload,"Sometimes, when it is absolutely essential",We need to work the debt before it becomes a real monster.,I am not sure,I am not sure,Probably yes,Probably yes,Definetely yes,Probably yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Probably not,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),3-5 years,Japan,100-200 commits,Male,MSc,20,Yes,Bug fixing;New feature;Refactoring,Almost never,I am not aware that I introduce technical debt,"Sometimes, when it is absolutely essential",when I have time to work on it and I have some clearer idea on what the code should be like.,Probably not,Definetely not,Definetely yes,Probably yes,Probably not,Definetely not,Definetely not,Probably yes,Definetely yes,Probably yes,Probably yes,I am not sure,Probably not,Probably yes,Probably yes,Probably not,Probably not,Probably not,I am not sure,Probably not
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),More than 5 years,italy,200-500 commits,Male,MSc,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process;Lack of commitment to the project,On a regular basis,To improve the project and lower the barrier for new contributors to jump in,I am not sure,Probably yes,Probably not,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Definetely yes,Probably yes,Probably not,Probably yes,Probably not,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably not,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,Czech republic,more than 500 commits,Male,MSc,20,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Lack of experience;Sometimes debty code is is a way to workaround bugs and shortcomings in project dependencies,"Sometimes, when it is absolutely essential","There is often debt that depends on some internal or external condition. So if the condition becomes true, the debt can be repaid. ",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,France,50-100 commits,Male,MSc,12,Yes,Bug fixing;New feature;Refactoring,Almost never,Team overload,"Sometimes, when it is absolutely essential",To keep the software maintainable. be a good citizen and not penalize others with my changes.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely not,Definetely not,Probably not,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Software Architect,Developer (incl. Software Engineer),More than 5 years,uk,more than 500 commits,Male,MSc,16,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Non-adoption of good practice;Some times I introduce Tech Debt on purpose. Because a feature might not be well understood and it is more cost effective to do it in a suboptimal way. Other times I create technical debt because the fix has its own set of problems so its better to have one well understood problem that another category,On a regular basis,To make it easier to code a new feature/fix next time. For pride in my work. The mastery of doing it.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),3-5 years,Germany,more than 500 commits,Male,PhD,25,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Non-adoption of good practice;Team overload,On a regular basis,Future maintainability of the codebase,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,I am not sure,I am not sure,Definetely yes,Definetely not,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);Team Lead;Software Architect,Team Lead,1-2 years,Netherlands,more than 500 commits,Male,MSc,15,Yes,New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload,On a regular basis,Cost of maintenance,Probably not,Probably not,I am not sure,Definetely yes,Definetely yes,Probably not,Definetely not,I am not sure,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Definetely not,Definetely yes,I am not sure,Probably yes,I am not sure,Definetely not,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,United States,50-100 commits,Male,MSc,2,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process;Lack of experience,On a regular basis,"To integrate the project into other products, and start the development of new phases of the project.",Probably yes,I am not sure,Probably not,Definetely yes,Definetely yes,Probably yes,I am not sure,I am not sure,Probably yes,Probably yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes
Python,Software Architect,Software Architect,1-2 years,India,50-100 commits,Male,B.Tech (Computer Science & Engineering,11,Yes,Bug fixing;New feature;Refactoring,Almost never,Lack of well-defined process,Always,In order to make the software efficient and bug free,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Data scientist/MLOps,Data scientist,Less than 1 year,Switzerland,50-100 commits,Male,PhD,10,Yes,Bug fixing;New feature;Refactoring;update to new softeare version (like Tensorflow),"Sometimes, when it is absolutely essential",Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience,Always,because of the gain in maturity and to avoid other issue in the future,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Hungary,Less than 10 commits,Male,PhD,15,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Non-adoption of good practice;Team overload,On a regular basis,increase maintainability,Probably yes,Probably yes,I am not sure,I am not sure,Probably yes,Probably not,Definetely not,Definetely not,Probably not,Definetely not,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably not,I am not sure,Probably yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Software Architect;Product Owner,Software Architect,More than 5 years,Netherlands,more than 500 commits,Male,MSc,25,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Team overload,On a regular basis,To keep good level of codebase maintainability,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),More than 5 years,United States,200-500 commits,Male,PhD,6,Yes,Bug fixing,"Sometimes, when it is absolutely essential",Lack of experience,"Sometimes, when it is absolutely essential",People tend to maintain tech debt knowing it's bad code/design. Only when it cause performance regression would we consider rearchitect it,Probably not,Probably not,Definetely yes,Probably yes,Definetely yes,Probably not,I am not sure,Probably not,Probably yes,Probably yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,I am not sure,Probably not,Probably yes,I am not sure
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,United States,more than 500 commits,Male,BSc,20,Somewhat,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Backward compact and minor version release rules,Always,Bugs ?€?filed to remember it ,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,,Less than 10 commits,Male,MSc,4,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Inappropriate planning;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",To better maintain and optimize the project.,Probably not,Probably not,Probably not,Definetely not,Probably yes,Probably not,Probably not,Probably not,I am not sure,I am not sure,Probably not,Probably not,Probably not,Definetely not,Probably not,Probably not,Probably yes,Probably not,Probably not,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,India,10-30 commits,Male,B.Tech,Less than a Year,No,New feature;Refactoring,"Sometimes, when it is absolutely essential",Outdation of older technologies to be adjusted in new era,"Sometimes, when it is absolutely essential","Better readability, Ease of pickup for other developers",Probably yes,Probably yes,I am not sure,Definetely yes,I am not sure,Probably yes,I am not sure,I am not sure,Definetely not,I am not sure,Definetely not,I am not sure,Definetely not,Definetely not,Definetely not,Probably yes,Probably yes,I am not sure,I am not sure,I am not sure
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),3-5 years,Germany,more than 500 commits,Male,MSc,5,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Inappropriate planning;Team overload;Use of unfinished components for which general fixes are too expensive,"Sometimes, when it is absolutely essential","Personal desire, FixIt sessions, preparations for new projects",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,United States of America,200-500 commits,I prefer not to answer,MSc,7,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload,On a regular basis,I care about the health of the project moving forward. It makes it easier to move fast in the future,Probably yes,Probably not,Definetely not,I am not sure,I am not sure,I am not sure,Definetely not,Definetely not,Probably not,Definetely not,Definetely yes,Probably yes,Probably not,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,10-30 commits,Male,MSc,6,Yes,Bug fixing;New feature,Almost never,I am not aware that I introduce technical debt,On a regular basis,To make other developers onboarding easier,Probably not,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Probably yes,Probably yes,I am not sure,Probably yes,Probably not,Probably not,Probably yes,I am not sure,I am not sure,I am not sure,Probably not,I am not sure
Java,Developer (incl. Software Engineer);Team Lead,Team Lead,3-5 years,India,Less than 10 commits,Male,BSc,3,No,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Outdated or incomplete documentation,On a regular basis,Add as a // TODO while introducing it and later come back to repay it.,Definetely yes,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Definetely not,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Team Lead;Product Owner,Product Owner,1-2 years,USA,100-200 commits,Male,BSc,3,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Team overload,"Sometimes, when it is absolutely essential","Because it is best practice and creates better more maintainable code. We continuously try to repay technical debt, and are mainly limited by time deadlines and team overload. ",Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably yes,I am not sure,I am not sure,Probably yes,Probably yes,Probably yes,I am not sure,I am not sure,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Software Architect;Project Manager;Product Owner,Software Architect,1-2 years,Israel,10-30 commits,Female,PhD,18,Somewhat,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline,On a regular basis,To accomplish the mission,I am not sure,Probably yes,Probably not,Definetely yes,Probably yes,Probably not,Probably not,Probably not,Probably yes,I am not sure,Probably yes,Definetely yes,I am not sure,I am not sure,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes,I am not sure
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),More than 5 years,India,50-100 commits,Male,BSc,13,Somewhat,Bug fixing;Refactoring,"Sometimes, when it is absolutely essential",Non-adoption of good practice;Lack of experience,"Sometimes, when it is absolutely essential",Lack of time,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Australia,30-50 commits,I was assigned male at birth but am trans-femmine non-binary (suggestion: you might want to ask people's gender [man/woman/non-binary/etc] rather than sex?),BSc,"3 years professionally, 10 as a hobbyist",Yes,Bug fixing;New feature,On a regular basis,Deadline;Lack of well-defined process;Team overload;We're still learning about the use case + domain etc.,On a regular basis,"Avoiding future pain when working with the code, some of it is for pride / maintaining self esteem",Definetely yes,Probably yes,Probably yes,Definetely yes,Probably yes,Definetely yes,Probably yes,I am not sure,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),3-5 years,Australia,200-500 commits,Male,MSc,17,Yes,Bug fixing;New feature,On a regular basis,Deadline;Lack of experience;Team overload;architectural defects,"Sometimes, when it is absolutely essential",maintenance burden of problems arising from it becoming too demanding,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely not,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Hungary,Less than 10 commits,Male,MSc,12,Somewhat,Bug fixing,I don't know,Inappropriate planning;Non-adoption of good practice;Lack of experience;Outdated or incomplete documentation;I am not aware that I introduce technical debt,On a regular basis,Because technical debt is bad.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes
Python,Team Lead;Scrum Master;Project Manager;Product Owner,Product Owner,More than 5 years,U.S.A.,Less than 10 commits,Male,BSc,20+ years,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline,Always,Because I know technical debt exists,Definetely not,Definetely not,Probably yes,Probably not,Definetely not,Definetely not,Definetely not,Probably yes,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead,Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Male,Bachelor's in Technology in Information Technology,I have worked on various ML tools and have used TF extensively. ,Yes,Bug fixing;New feature,Always,Deadline;Inappropriate planning;Lack of well-defined process,On a regular basis,NA,Definetely yes,I am not sure,I am not sure,Probably yes,I am not sure,Probably yes,I am not sure,I am not sure,Probably yes,I am not sure,Probably yes,I am not sure,I am not sure,Probably yes,I am not sure,Probably yes,I am not sure,I am not sure,Probably yes,I am not sure
Python,Developer (incl. Software Engineer);Team Lead;Product Owner,Product Owner,1-2 years,UK,Less than 10 commits,Male,PhD,20,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Lack of experience;Lack of commitment to the project,On a regular basis,To lower the cost of maintenance and future developments,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);sysadmin,sysadmin,3-5 years,ireland,100-200 commits,Male,MSc,12,Somewhat,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Lack of experience;Doing some prototyping which somehow becomes live,On a regular basis,"When I have some ""free"" time, I try to fix/improve stuff which ticks me off",Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Probably yes,Probably yes,Probably yes,I am not sure,I am not sure,Probably not,Probably yes,Probably yes,I am not sure,I am not sure,I am not sure,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,India,100-200 commits,Male,B. Tech,12,Yes,Refactoring,"Sometimes, when it is absolutely essential",Deadline,"Sometimes, when it is absolutely essential",It is required,Probably yes,I am not sure,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Definetely yes,Definetely yes,I am not sure,Definetely yes,I am not sure,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Probably yes,Probably yes,I am not sure
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Software Architect,Developer (incl. Software Engineer),Less than 1 year,Canada,Less than 10 commits,Female,MSc,25 years,Somewhat,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",I am not really sure --- You code as well as you can then redo when you learn more or want to add things,I don't know,To make code clearer and interfaces more consistent. To optimize,Probably not,Probably not,Probably not,I am not sure,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably not,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably not
